"","purchaseId","customer","n_items","value","region","office","predictor","profit"
"72",72,16,10,1678.19078038432,"EU",1,24380.1019555244,486.178411906145
"76",76,59,7,1271.48295937317,"SA",2,68133.95082481,261.624041603888
"78",78,46,12,1346.01169530811,"Asia",4,16014.2604927232,-237.363300312034
"80",80,73,13,2129.21771102005,"Asia",3,42335.7631719285,422.137532376748
"83",83,69,12,1048.43702087462,"Asia",2,13022.820434656,-514.378541254106
"85",85,3,5,777.685863093204,"NA",3,90122.829311352,59.6487121827805
"86",86,79,5,741.354016677386,"EU",4,94480.2370537394,72.7788479140904
"88",88,66,11,1238.02180043284,"Asia",2,10353.6675472087,-229.622154912461
"89",89,38,9,1267.26442862036,"Asia",3,58454.2358723888,53.9328706191391
"90",90,53,4,749.118216526488,"SA",2,36569.1338321089,157.175652024625
"94",94,40,10,1542.29137129239,"NA",1,19749.2932122743,431.784937229668
"95",95,12,7,882.163478655233,"NA",3,65907.4830512633,-160.935346869275
"96",96,59,7,1032.12149784431,"Asia",3,86756.0257948476,96.4256749726744
"97",97,38,7,1083.89647491044,"EU",2,73191.2720546513,78.2012257413485
"98",98,72,12,1445.24118792635,"EU",2,50255.3434408852,-84.5473451826133
"99",99,35,7,912.506001631033,"EU",1,32395.6660234428,127.043359469192
"100",100,43,10,1596.49838694856,"Asia",3,21683.4786097454,242.196132214538
"104",104,63,8,1220.80565971509,"Asia",4,97670.4997806873,134.192395726162
"105",105,3,5,782.602039993798,"Asia",2,44471.5818252889,49.5526128813385
"106",106,48,13,1626.29420584865,"Asia",1,60077.6015922558,31.4397562033791
"107",107,3,7,844.144396043116,"NA",2,40250.6772264114,-75.8894265234388
"109",109,77,7,655.211150315842,"Asia",1,80048.6101545375,-33.9856962424351
"110",110,90,10,1441.5765323125,"Asia",3,22466.1264516336,136.870534561281
"111",111,21,11,1834.6230824891,"EU",3,56381.5874059321,364.133556933905
"112",112,51,3,415.722147557532,"EU",4,26978.3021833648,10.4819623430054
"113",113,3,5,493.619189809024,"EU",3,88543.414755553,-186.135240270966
"114",114,58,7,626.902088793836,"Asia",3,31197.3869961295,-313.925350708014
"115",115,66,9,1300.02566595304,"SA",3,16165.5445555702,53.5191138875236
"117",117,92,10,1052.70607952336,"NA",4,69715.1111506002,-292.445463117885
"118",118,84,6,759.564090414161,"NA",3,80765.56721018,-44.0922971879937
"120",120,76,4,410.919304340622,"Asia",2,65856.5304137932,-208.4980025515
"121",121,39,10,1333.3015713323,"EU",3,65116.5106192224,-3.60316989217586
"122",122,77,3,602.583491695418,"Asia",1,79723.2696733901,308.450029398503
"123",123,87,9,1632.97278671381,"NA",2,90329.2680039732,356.056270584138
"124",124,2,4,719.910039754324,"SA",3,55427.6178540043,163.336376312443
"125",125,94,10,1521.74436548231,"Asia",1,4120.64055401506,336.239483374211
"128",128,52,3,415.887274195879,"SA",2,48034.1452007513,-30.5934448470626
"130",130,18,12,1324.20734271918,"Asia",2,87347.2702283864,-232.282459641449
"131",131,23,12,2068.74124910786,"Asia",3,66188.8169552037,463.046243306194
"132",132,20,11,1062.53366982914,"Asia",4,81498.114333404,-360.782302066076
"133",133,40,10,1391.0729333565,"Asia",2,76886.6803518499,58.2489300795055
"134",134,54,4,666.608222063179,"NA",2,11216.7674905357,44.3622095854421
"135",135,60,7,588.460328176113,"EU",1,55888.6796644614,-158.090269110808
"136",136,63,9,743.078130168604,"Asia",4,17826.047649008,-442.150974089898
"137",137,41,10,1739.33573178033,"Asia",1,23062.633666564,594.122187056856
"140",140,88,8,1283.31875715274,"EU",3,64769.3747302329,194.258634136046
"142",142,71,13,1576.76798985124,"EU",4,84912.2135927263,-185.496724352649
"147",147,86,8,1104.99413322968,"NA",3,61143.0561401588,11.6859460722776
"149",149,67,10,1032.57697029173,"Asia",2,25234.0024563039,-340.063682804103
"153",153,86,7,949.005034356635,"EU",1,97480.8606056145,111.581744396009
"155",155,85,6,903.849908689495,"SA",3,79695.8919272935,35.1796195599734
"157",157,67,9,843.400229474877,"SA",4,26051.1120553287,-393.619524945724
"158",158,87,7,845.429046718321,"Asia",4,44814.1953734953,-144.054360248998
"160",160,6,6,897.442162079363,"SA",2,99473.7585056294,2.25648585038482
"161",161,33,7,677.654181958137,"Asia",3,29481.9239173892,-267.712190743576
"163",163,34,6,721.710733466692,"Asia",4,8738.71314604185,-121.241817179549
"164",164,75,4,549.457855285491,"NA",4,5148.16380707477,12.1203794093695
"165",165,1,3,454.132421549627,"Asia",2,13680.7907858477,-2.39908237082898
"167",167,13,9,1516.3666397936,"Asia",2,76259.351301251,340.341218247751
"170",170,58,6,981.991716724173,"SA",1,9285.68562465976,318.239433104888
"177",177,74,13,1478.48165813867,"Asia",3,55847.3611832864,-242.07662253292
"178",178,42,10,1452.61817741849,"NA",3,21852.2250989203,44.0209430907005
"179",179,90,9,1452.2367114472,"EU",3,44010.6079075208,240.340925528912
"180",180,26,3,343.526472256184,"EU",3,79777.5566218814,-118.264901134861
"182",182,8,6,554.707018349409,"EU",3,80955.6568847601,-310.648891956859
"185",185,16,10,930.483286515313,"Asia",4,79386.7958777079,-490.395955403942
"186",186,50,3,294.304794949172,"Asia",1,94831.6243644843,42.1478603252915
"188",188,22,12,1567.37583930152,"NA",3,90822.8471757397,14.2787293561794
"189",189,63,10,1375.75049560067,"EU",3,16753.0047606512,52.7651591722895
"191",191,57,5,484.370962692208,"Asia",4,28387.2351901,-196.639976663794
"192",192,32,6,719.770143069,"Asia",3,26404.1656950437,-169.467531055941
"193",193,99,12,1027.2553916278,"Asia",3,26354.9434143305,-591.136686018296
"197",197,49,13,1038.62603334806,"Asia",3,87719.8022383978,-682.30007481032
"198",198,43,11,1327.78182471018,"NA",3,48000.6253738473,-142.146045978475
"200",200,48,13,2051.40277918738,"SA",2,42859.4375221913,333.746942070574
"201",201,89,8,1457.73987804302,"SA",2,41505.9539291603,323.086715429619
"202",202,78,5,784.175989633219,"Asia",3,33093.243102035,108.945935386053
"203",203,69,11,1066.99020376378,"Asia",4,20356.2936501349,-459.576668046446
"204",204,94,12,1068.12221804909,"SA",2,84660.6592219351,-461.292330036034
"205",205,82,6,624.159632776388,"Asia",4,40366.5856577014,-235.935572728462
"206",206,6,6,652.768076477873,"EU",4,66134.4975038795,-164.801254920035
"208",208,13,9,1000.17753471428,"Asia",2,6411.37851184141,-198.036126870852
"210",210,72,11,1342.92480106013,"Asia",4,48450.5907730577,-131.128565235202
"213",213,48,12,1548.73343102723,"Asia",3,2098.76924232719,-8.06876784192946
"214",214,33,6,905.322848115455,"Asia",1,60783.6767180956,300.767089451506
"215",215,77,4,517.226940439572,"EU",3,42429.154241336,-32.2580502990661
"217",217,24,13,1182.38210723259,"Asia",3,32070.004960988,-598.860879079506
"223",223,44,11,1076.21195114754,"SA",2,2394.37736134208,-351.26352121043
"225",225,53,5,843.258826851798,"NA",3,51855.97990182,84.2590924920067
"226",226,61,8,1151.28549474414,"NA",3,98149.7129098917,61.3437629910402
"228",228,3,4,559.42514034335,"EU",1,51126.1422482673,216.286511297323
"230",230,48,12,1673.70322706233,"Asia",3,63577.142696643,41.3353881835747
"232",232,79,5,616.51627732435,"EU",1,70233.4314740547,162.370198343458
"233",233,86,8,1271.79871543951,"Asia",2,98975.9528713028,169.181930628662
"234",234,70,12,1197.30525360435,"Asia",1,36818.9760766004,-170.390693956593
"237",237,95,11,1277.1911984446,"EU",3,41344.4194833159,-185.974002032388
"239",239,64,9,1372.21753518225,"SA",2,89357.990740133,158.145119487705
"241",241,90,8,1373.50706239783,"Asia",2,91998.4302618527,241.144904760814
"243",243,99,13,1435.58060516916,"Asia",1,84235.8599559367,-69.2781939055817
"244",244,13,9,1078.78423484074,"Asia",3,98162.9642170456,-67.4510054420596
"245",245,65,9,1438.48111831701,"EU",2,72330.0732010847,238.077706043033
"246",246,43,11,1171.64853854707,"Asia",1,59936.1214873942,-60.5086181947875
"248",248,98,11,1251.12417286062,"SA",3,54375.268676467,-223.215456727632
"250",250,1,4,337.275314371364,"EU",2,72048.8089360935,-215.39695536255
"251",251,19,11,1124.81118351051,"EU",2,48103.2198206009,-384.442046810316
"252",252,90,9,861.429760934167,"Asia",2,15466.8012166636,-317.75026733359
"253",253,63,7,805.296898032891,"SA",2,19271.8606143286,-216.017273657371
"254",254,39,9,1012.85769595628,"NA",3,55306.6398888244,-275.75306431248
"255",255,51,4,396.350315224046,"EU",2,38184.69230634,-157.943873521467
"259",259,29,5,815.660442371147,"NA",3,30921.913031644,163.543543669758
"262",262,21,12,1980.48726401378,"NA",3,66052.2090156691,378.243586933598
"269",269,44,12,2071.92256527779,"Asia",2,93745.9633455772,404.542796698129
"270",270,28,4,661.736550725153,"Asia",4,28844.4497221916,30.3235198245012
"274",274,88,9,1158.22853665701,"NA",4,92568.2326278007,-1.19153747057567
"277",277,7,7,1044.85004274411,"EU",2,14082.0592115899,98.3428590106753
"278",278,92,11,1925.85470307607,"SA",3,12824.5675199458,424.540478073971
"280",280,78,4,537.300713318646,"Asia",3,81056.8798097565,-120.149162456189
"282",282,94,11,1427.35159820465,"Asia",3,38777.3283547196,-122.160355398791
"283",283,58,5,898.297878389055,"EU",3,94422.5981691233,170.360186731909
"285",285,42,9,1269.42842174684,"EU",2,39819.9823050946,-6.14834187425413
"288",288,59,6,591.103628046452,"Asia",3,37468.4398124625,-275.366159990867
"289",289,40,9,1281.02368097628,"EU",3,40844.2567184076,58.9550507930717
"290",290,87,8,1288.14517021713,"Asia",1,4742.51727769081,428.764128808903
"292",292,15,9,1351.47757397085,"Asia",2,27805.4897327365,100.240539168187
"293",293,78,5,895.097454553855,"NA",4,25484.591614031,163.922477528551
"294",294,93,12,1165.3880409482,"NA",4,46591.5965116946,-446.028807204437
"295",295,41,9,1538.19645763341,"NA",2,42011.7085084354,304.890039586599
"296",296,100,3,473.482683107117,"Asia",1,96502.0411711754,154.348495604615
"297",297,51,2,320.044342500346,"EU",2,20568.2426672126,57.0260342210356
"299",299,11,8,999.758668060774,"Asia",3,27177.8223825954,-72.3898783631133
"305",305,83,6,778.434944773816,"EU",3,84050.8895473746,-16.6064196323415
"309",309,17,10,1520.37424786796,"NA",4,5671.90861118585,169.965951836671
"310",310,8,7,1217.38023142686,"Asia",4,58249.8135893927,272.091496146267
"311",311,91,9,808.569810983241,"SA",3,91234.7084749311,-437.245805245722
"312",312,87,8,821.037901936225,"Asia",1,49437.4736574108,-84.143624653236
"314",314,99,13,1942.12996952062,"EU",1,38090.1916237471,446.960323853948
"318",318,82,4,412.325800890635,"NA",3,80398.3028011064,-185.905826693918
"321",321,39,8,793.634882875587,"Asia",2,78068.6226078914,-269.586696961599
"322",322,94,11,1955.38435998613,"Asia",3,41688.8265313182,444.911675739748
"325",325,50,3,505.180692348858,"Asia",4,43141.7507253089,32.4523071827701
"326",326,57,7,913.56169611545,"Asia",3,57193.9304039881,4.52973887183862
"327",327,61,7,1141.35123716481,"NA",3,10912.4434901015,214.55092022307
"328",328,69,10,952.034742437442,"NA",3,87349.0379540878,-347.052640748529
"329",329,56,5,739.173267054408,"NA",1,61985.8341296373,191.99896876326
"332",332,54,6,1003.11872120534,"Asia",2,95492.5534979075,215.336488776503
"334",334,82,5,741.897859819728,"SA",2,4330.88014560146,62.1471357405774
"335",335,55,5,722.392034280668,"Asia",2,65650.0575652581,51.842212391462
"336",336,23,12,1480.62536265744,"Asia",4,89879.9238372738,-188.093751092199
"337",337,21,12,2003.91402850552,"SA",3,66749.628027118,396.070198944278
"338",338,37,7,1212.17110933229,"EU",3,11258.3316288663,222.034561849767
"339",339,35,7,799.08442439301,"NA",3,42439.2764989114,-193.925053984173
"340",340,50,4,348.72417553227,"EU",2,53144.0345938944,-184.082225443397
"341",341,4,6,524.258862943029,"Asia",3,52980.9466011159,-239.668593201176
"344",344,6,6,998.722206340481,"Asia",3,34950.6739445433,206.43955575072
"346",346,86,7,962.921193772906,"Asia",3,65032.4944517808,-2.43237270253496
"347",347,46,13,1153.45171726842,"Asia",3,84503.7822504281,-542.52198021572
"349",349,61,8,634.533489733136,"Asia",4,52874.47193079,-401.611783014307
"350",350,95,11,1370.59511489202,"SA",4,95899.3394192182,-67.1883722002581
"354",354,20,12,2132.2435518283,"EU",3,48136.9072140434,463.113117646591
"355",355,30,4,534.661659875331,"NA",4,47697.903744445,-77.7891413201278
"356",356,44,10,1245.56527227424,"EU",3,78936.4154853083,-67.6624580535304
"357",357,20,11,1221.15012379954,"Asia",3,1076.91321672569,-196.8738773395
"359",359,97,12,1345.22877891716,"EU",1,76402.3982941092,-35.3211818887469
"361",361,82,6,609.760997374757,"Asia",2,78659.3494640852,-221.880908658585
"363",363,52,4,411.20939898669,"Asia",3,16758.7470752411,-183.987689148292
"364",364,4,5,814.130085782449,"Asia",4,81145.4384809134,118.61159794009
"365",365,20,11,1753.11638094309,"NA",2,88283.6506953829,305.613848524082
"367",367,30,4,727.240655601688,"Asia",3,23639.6169466968,78.9959062277065
"368",368,13,8,1405.27651620741,"SA",4,47569.2115485412,279.319651264186
"370",370,45,11,1671.50021165402,"Asia",2,50040.4721956216,161.213752470431
"371",371,48,12,1548.79149616529,"EU",1,56223.2444542204,180.12481877661
"373",373,88,8,907.897083940477,"NA",4,47335.6301965734,-147.580333829501
"374",374,17,10,1092.80454626364,"Asia",3,49144.2221567554,-199.873294801897
"375",375,18,9,812.116494532571,"NA",3,60729.3346125763,-474.852998773223
"377",377,32,5,867.748756801858,"SA",4,80398.7781899606,179.818999836736
"378",378,68,10,1193.59065373146,"NA",3,72756.89374282,-114.209998821474
"379",379,44,12,2028.00426636984,"Asia",1,94938.1796865386,626.803788805296
"380",380,67,10,1283.78121503417,"NA",4,52968.4290523978,-21.2636242569527
"381",381,13,9,971.148999497455,"EU",4,54642.0469457482,-207.572990217042
"384",384,13,9,1195.49347294548,"NA",3,88976.405387342,-16.0474926237994
"385",385,41,9,1621.44983968245,"NA",4,32579.7507530933,349.2822515019
"386",386,100,3,360.16071166424,"Asia",3,55275.2726528272,-139.80058021223
"391",391,80,5,714.851302238696,"EU",2,97074.8293740051,-17.9184985584243
"392",392,1,6,488.346080721178,"Asia",4,41577.8155039446,-293.816013849715
"394",394,68,11,1745.03274684296,"SA",2,13203.5232631776,224.89294535615
"395",395,25,4,340.867175361682,"SA",2,93564.224477618,-219.586442981827
"396",396,3,4,614.441607105736,"Asia",3,10274.9081309054,48.4435878011685
"397",397,80,4,612.952677654128,"EU",2,37944.6378848318,-16.5089556098839
"398",398,7,6,923.403895972582,"NA",3,46216.3334022614,59.6362968674003
"399",399,89,10,1020.03803846765,"Asia",2,59466.7628166368,-289.624769068344
"401",401,47,12,1882.01223082311,"EU",3,650.221242786152,333.953478462785
"402",402,60,8,981.735486141696,"SA",4,4436.42892756569,-80.6813312173324
"404",404,76,3,268.439477276363,"Asia",1,23082.6070997072,66.6793831277432
"405",405,13,7,1092.65200351106,"Asia",4,78033.3079540702,85.7963247769476
"409",409,61,8,827.195203852396,"NA",2,67185.6789542839,-246.876636090446
"410",410,90,9,981.981527750858,"NA",4,62776.7216026259,-187.687304308766
"411",411,89,9,1607.66394268349,"Asia",1,80157.0336444285,536.543674252396
"414",414,93,10,1800.85207435498,"Asia",4,45417.0925848233,414.57956484831
"417",417,42,10,1071.65405695241,"EU",2,38044.9014873204,-242.709332263597
"418",418,1,4,384.127789956535,"Asia",3,29168.0153763739,-151.123126534495
"420",420,3,4,675.897648871741,"NA",2,44836.6050057162,58.642724008752
"422",422,15,9,1496.75839633688,"Asia",4,94189.1670379846,303.394516041869
"424",424,38,9,1077.47305440983,"EU",3,48109.7355675716,-92.5286566363475
"426",426,2,3,371.262635963188,"Asia",2,93240.4099532494,-85.7991408315386
"427",427,38,9,973.321542354615,"EU",1,61508.9761752568,-22.1721439665943
"428",428,10,7,650.171370198367,"Asia",3,70133.4246346322,-264.859441389125
"429",429,49,12,1330.54548652292,"Asia",2,4281.91239280254,-257.740687086615
"430",430,68,10,1580.96499615799,"NA",3,3739.5586226075,183.994428104808
"431",431,90,10,1488.89743342872,"SA",2,45744.5622576317,181.417218438459
"432",432,50,3,254.077668724593,"Asia",4,38271.8629249292,-142.436192619125
"433",433,56,7,1035.12454760327,"EU",2,34807.9089067751,114.267102304044
"434",434,73,12,1573.30449440866,"SA",2,32829.5507159627,-89.1421034131276
"436",436,69,11,1596.01781848688,"Asia",2,88078.6915335744,119.956038320898
"437",437,4,5,793.87812737999,"EU",3,98818.4823505715,113.08570813888
"438",438,93,10,1436.51983739325,"Asia",3,42921.9107142503,20.649094892505
"439",439,59,8,1258.58022339104,"Asia",1,63145.8222122085,384.835921114212
"444",444,28,4,449.13273624266,"Asia",1,48633.0478232384,89.4452753662326
"445",445,94,11,962.458120566002,"Asia",1,36060.9404693618,-316.067978411025
"448",448,57,7,1109.48834137754,"Asia",2,3130.72289226833,195.490487742967
"449",449,65,9,829.480033519809,"NA",4,18339.4251437418,-408.069204065161
"450",450,26,3,298.092417477192,"Asia",4,1908.69449204206,-189.562805832396
"453",453,37,8,744.538655199262,"NA",3,94977.9516056289,-382.096999963399
"455",455,62,7,763.075041474291,"NA",2,71004.4907987688,-242.007226840318
"456",456,53,3,659.879935691931,"NA",4,75011.7552321001,151.525760908377
"457",457,21,11,905.934272759629,"SA",1,85296.8311850822,-374.426496109384
"458",458,34,7,567.488152574602,"NA",3,63625.8779238034,-338.221738413883
"462",462,70,11,1859.12930803939,"Asia",4,4316.86218137085,398.318403549476
"463",463,71,12,1711.54544539696,"Asia",2,31475.6042369578,118.107646668273
"465",465,4,4,586.907722522465,"Asia",2,99194.9439670409,-17.4216120353761
"466",466,6,6,773.641148054094,"Asia",4,41182.9963526891,-81.8012263470629
"467",467,61,8,1300.4158175036,"EU",3,32728.6327262109,166.858749630424
"472",472,87,9,806.709916613404,"Asia",4,43838.3033360308,-379.807617826774
"473",473,91,11,1835.94930889631,"Asia",3,99943.0871648169,398.647331600617
"474",474,14,9,1107.60966350281,"NA",4,64479.9871551676,-98.0346349127669
"475",475,70,11,1333.04356743826,"SA",1,61908.4393200902,63.7608507958519
"476",476,86,8,838.976854794273,"SA",3,86428.6880891284,-285.690161250011
"477",477,14,9,1182.86490810667,"NA",1,69836.6210586322,181.488695147501
"478",478,91,10,1532.66900998255,"NA",3,32332.9902009009,211.067729948669
"479",479,35,8,770.665089186592,"EU",3,95619.1573169539,-344.809310517026
"480",480,41,10,1002.33319097968,"Asia",4,9096.09704317991,-287.505836734171
"482",482,15,9,1488.77658570917,"Asia",3,434.156030638609,302.677437889474
"484",484,14,9,1024.53172630697,"NA",2,67022.0790651713,-173.014524042183
"485",485,11,7,1292.74153719679,"Asia",2,92524.2957826741,262.838216266771
"486",486,87,8,1061.38835568942,"EU",1,48355.8142354768,211.239557188393
"488",488,65,9,1006.90006332652,"NA",3,72280.4114569263,-195.1306189587
"489",489,6,6,707.134398946147,"Asia",2,36449.316120273,-97.3610593420764
"491",491,65,10,1355.63345362018,"Asia",3,29374.6014726015,21.0955323741775
"493",493,9,5,618.534811426532,"NA",2,46921.4966327213,-133.076130700864
"495",495,3,3,349.466683116594,"EU",2,99562.5318212102,-43.1214923156222
"496",496,55,6,845.580499169621,"NA",4,34475.6342628915,-40.6261852795867
"497",497,1,5,691.465032426179,"EU",2,49038.5988930131,39.7146081486751
"499",499,17,11,1417.07375913042,"EU",2,1268.09690499399,-102.877706916148
"500",500,45,11,1649.45632010417,"EU",3,22861.9573117679,222.822692001416
"506",506,2,2,251.180645168817,"SA",2,8725.3953896868,-59.9100014256305
"507",507,100,3,406.456664279705,"Asia",4,35639.4894608008,-54.3799221990942
"508",508,58,7,672.397980552801,"Asia",3,82612.1854591579,-333.114538969293
"509",509,26,4,493.905659476711,"Asia",2,12038.4106992341,-130.483477162697
"510",510,12,8,1289.12878823526,"Asia",1,505.671738960547,367.260943952225
"514",514,51,4,405.866640211396,"Asia",3,12306.7745759084,-178.235619470782
"515",515,43,10,1218.21011275916,"EU",4,89743.0522196721,-153.034091015537
"517",517,80,5,707.238607168033,"Asia",3,69988.0786484226,32.8861997445729
"519",519,41,9,1406.50707541945,"EU",3,90969.3071290241,152.563164618549
"522",522,98,13,2236.76566420028,"Asia",2,65165.0548573157,509.468983352669
"524",524,100,4,511.17542140822,"Asia",2,75265.2542082639,-63.1964430945502
"525",525,89,8,972.642227242135,"Asia",3,48061.6544249975,-89.4765821543125
"526",526,8,8,932.542511038381,"Asia",2,3832.39544421039,-129.472104816315
"527",527,82,8,1294.86284171052,"EU",3,40790.8209436715,254.186244180932
"528",528,71,10,1732.30732469059,"Asia",4,34990.3602759449,389.770620668381
"529",529,21,12,1994.40676342153,"Asia",3,59538.864623677,424.695115198106
"530",530,91,9,1603.69066066513,"NA",4,25838.918684934,337.282259154998
"532",532,50,3,493.663135190214,"NA",4,64866.6983164523,21.7866453008457
"536",536,49,13,1719.57133574104,"SA",2,52671.5764893203,12.5396151364894
"539",539,45,11,1568.53168585624,"SA",3,55692.0299123994,153.923598836611
"540",540,64,9,974.202000355757,"Asia",1,7681.09646069817,-71.3311403945961
"542",542,48,12,1694.12603610533,"NA",2,59066.1366478025,135.740328292789
"544",544,1,5,596.731085278458,"Asia",2,3272.83491646056,-52.5770616815959
"545",545,54,4,396.449177998909,"EU",4,7948.36024686531,-197.82150627272
"546",546,13,7,672.255856586136,"NA",1,12638.6776258007,-89.421798773244
"547",547,32,6,478.438520287784,"Asia",2,87388.8647508121,-286.300998907565
"548",548,79,5,570.596950469416,"Asia",3,53179.5146256681,-155.942758440057
"550",550,82,7,909.889841852789,"EU",3,26803.8496775343,9.5573151031391
"551",551,95,12,2044.0259853186,"EU",2,28970.7284430612,444.477844955714
"552",552,2,4,593.802973013124,"SA",4,3841.07509754389,8.62758962635451
"554",554,49,13,1576.1097395704,"Asia",3,1012.84149530204,-124.310530217127
"556",556,26,4,470.683065498626,"Asia",1,20306.4772381266,101.526225966897
"557",557,26,2,350.490597250076,"Asia",4,16210.6487087386,-13.2902012328798
"560",560,2,5,522.411598653563,"Asia",2,38725.7896185312,-173.088908008686
"562",562,62,9,943.366691604866,"NA",3,16228.2287832142,-311.99328461468
"565",565,84,7,602.924205055101,"Asia",3,61862.8242950323,-343.265099778642
"567",567,96,11,1817.53128217929,"Asia",1,55371.145858339,564.118394018312
"568",568,48,14,1593.21301534507,"Asia",2,44433.1906246743,-264.414662148991
"570",570,46,12,937.990778032271,"EU",4,53367.7925234295,-617.448360399523
"572",572,89,9,1635.71491908673,"Asia",2,63469.6575514285,376.835676339123
"573",573,21,10,1780.94396863762,"EU",3,64060.4910429907,392.506166326338
"575",575,21,11,981.841882549736,"EU",3,91363.2755954638,-553.51802134008
"576",576,91,10,1129.62009613373,"Asia",2,59029.3726842839,-260.355293598917
"577",577,56,6,824.276521487331,"NA",2,76030.6391809734,6.08783019495286
"578",578,61,7,917.818038689354,"Asia",2,27000.0258102373,-59.0420434247471
"579",579,51,3,646.745581798965,"EU",1,95292.1584229991,348.042858914743
"580",580,21,11,1160.84356705377,"Asia",1,96248.7247789765,-149.599052980635
"582",582,55,5,798.880526573381,"EU",4,10873.6836524152,73.9738861542049
"583",583,57,6,755.98225387382,"NA",4,50146.0960880003,-88.3158316369414
"584",584,63,8,1018.81679501147,"Asia",3,40610.6015365811,-33.0821463305758
"585",585,35,7,1081.87769960146,"EU",2,80308.6771476287,120.42333435201
"586",586,75,1,244.163851975463,"Asia",2,85864.7851503175,44.1638519754633
"590",590,22,12,1709.61908019931,"Asia",2,40649.7617691213,89.8349167677293
"591",591,11,7,987.072436025669,"Asia",2,66000.7938414677,55.9666675343971
"592",592,49,13,1255.80894875905,"EU",3,18163.390639357,-440.229393384792
"593",593,40,9,891.409375190729,"EU",2,63570.6657155869,-378.269830051537
"601",601,80,4,627.889573314749,"Asia",3,65650.2473901836,-29.3486801870522
"606",606,84,6,705.979690578801,"EU",3,30650.5571015719,-174.797520200158
"607",607,80,6,571.428962648444,"Asia",3,86827.3344722316,-253.749683192474
"610",610,25,4,473.146130234202,"Asia",3,90746.0991632526,-70.6536639108195
